"Instruction","","Lat","TP","Uops","Ports"
"SAR (R16, 0)","BASE","1","1.00","1",""
"SAR (R16, 1)","BASE","1","1.00","1",""
"SAR (R16, CL)","BASE","[0;3]","1.00","1",""
"SAR (R16, I8)","BASE","1","1.00","1",""
"SAR (R32, 0)","BASE","1","1.00","1",""
"SAR (R32, 1)","BASE","1","1.00","1",""
"SAR (R32, CL)","BASE","[0;3]","1.00","1",""
"SAR (R32, I8)","BASE","1","1.00","1",""
"SAR (R64, 0)","BASE","1","1.00","1",""
"SAR (R64, 1)","BASE","1","1.00","1",""
"SAR (R64, CL)","BASE","[0;3]","1.00","1",""
"SAR (R64, I8)","BASE","1","1.00","1",""
"SAR (R8h, 0)","BASE","1","1.00","1",""
"SAR (R8h, 1)","BASE","[1;≤2]","1.00","1",""
"SAR (R8h, CL)","BASE","[≤1;3]","1.00","1",""
"SAR (R8h, I8)","BASE","[1;≤2]","1.00","1",""
"SAR (R8l, CL)","BASE","[0;3]","1.00","1",""
"SAR_R0 (R8l, 0)","BASE","1","1.00","1",""
"SAR_R0 (R8l, 1)","BASE","1","1.00","1",""
"SAR_R0 (R8l, I8)","BASE","1","1.00","1",""
"SAR_R4 (R8l, 0)","BASE","1","1.00","1",""
"SAR_R4 (R8l, 1)","BASE","1","1.00","1",""
"SAR_R4 (R8l, I8)","BASE","1","1.00","1",""
"SBB (AL, 0)","BASE","[1;2]","1.00","1",""
"SBB (AL, I8)","BASE","[1;2]","1.00","1",""
"SBB (AX, I16)","BASE","[1;2]","1.00","1",""
"SBB (EAX, I32)","BASE","[1;2]","1.00","1",""
"SBB (M16, 0)","BASE","[2;≤10]","1.00","1",""
"SBB (M16, I16)","BASE","[2;≤10]","1.00","1",""
"SBB (M16, I8)","BASE","[2;≤10]","1.00","1",""
"SBB (M16, R16)","BASE","[1;≤10]","1.00","1",""
"SBB (M32, 0)","BASE","[2;≤9]","1.00","1",""
"SBB (M32, I32)","BASE","[2;≤9]","1.00","1",""
"SBB (M32, I8)","BASE","[2;≤9]","1.00","1",""
"SBB (M32, R32)","BASE","[1;≤9]","1.00","1",""
"SBB (M64, 0)","BASE","[2;≤9]","1.00","1",""
"SBB (M64, I32)","BASE","[2;≤9]","1.00","1",""
"SBB (M64, I8)","BASE","[2;≤9]","1.00","1",""
"SBB (M64, R64)","BASE","[1;≤9]","1.00","1",""
"SBB (M8, 0)","BASE","[2;≤10]","1.00","1",""
"SBB (M8, I8)","BASE","[2;≤10]","1.00","1",""
"SBB (M8, R8h)","BASE","[2;≤10]","1.00","1",""
"SBB (M8, R8l)","BASE","[1;≤10]","1.00","1",""
"SBB (R16, 0)","BASE","[1;2]","1.00","1",""
"SBB (R16, I16)","BASE","[1;2]","1.00","1",""
"SBB (R16, I8)","BASE","[1;2]","1.00","1",""
"SBB (R16, M16)","BASE","[1;≤6]","1.00","1",""
"SBB (R32, 0)","BASE","[1;2]","1.00","1",""
"SBB (R32, I32)","BASE","[1;2]","1.00","1",""
"SBB (R32, I8)","BASE","[1;2]","1.00","1",""
"SBB (R32, M32)","BASE","[1;≤6]","1.00","1",""
"SBB (R64, 0)","BASE","[1;2]","1.00","1",""
"SBB (R64, I32)","BASE","[1;2]","1.00","1",""
"SBB (R64, I8)","BASE","[1;2]","1.00","1",""
"SBB (R64, M64)","BASE","[1;≤6]","1.00","1",""
"SBB (R8h, 0)","BASE","[1;2]","1.00","1",""
"SBB (R8h, I8)","BASE","[1;2]","1.00","1",""
"SBB (R8h, M8)","BASE","[1;≤6]","1.00","1",""
"SBB (R8l, M8)","BASE","[1;≤6]","1.00","1",""
"SBB (RAX, I32)","BASE","[1;2]","1.00","1",""
"SBB_18 (R8h, R8h)","BASE","[1;≤3]","1.00","1",""
"SBB_18 (R8h, R8l)","BASE","[1;2]","1.00","1",""
"SBB_18 (R8l, R8h)","BASE","[1;≤3]","1.00","1",""
"SBB_18 (R8l, R8l)","BASE","[1;2]","1.00","1",""
"SBB_19 (R16, R16)","BASE","[1;2]","1.00","1",""
"SBB_19 (R32, R32)","BASE","[1;2]","1.00","1",""
"SBB_19 (R64, R64)","BASE","[1;2]","1.00","1",""
"SBB_1A (R8h, R8h)","BASE","[1;≤3]","1.00","1",""
"SBB_1A (R8h, R8l)","BASE","[1;2]","1.00","1",""
"SBB_1A (R8l, R8h)","BASE","[1;≤3]","1.00","1",""
"SBB_1A (R8l, R8l)","BASE","[1;2]","1.00","1",""
"SBB_1B (R16, R16)","BASE","[1;2]","1.00","1",""
"SBB_1B (R32, R32)","BASE","[1;2]","1.00","1",""
"SBB_1B (R64, R64)","BASE","[1;2]","1.00","1",""
"SBB_LOCK (M16, 0)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M16, I16)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M16, I8)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M16, R16)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M32, 0)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M32, I32)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M32, I8)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M32, R32)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M64, 0)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M64, I32)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M64, I8)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M64, R64)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M8, 0)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M8, I8)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M8, R8h)","BASE","[11;≤16]","14.00","1",""
"SBB_LOCK (M8, R8l)","BASE","[11;≤16]","14.00","1",""
"SBB_R0 (R8l, 0)","BASE","[1;2]","1.00","1",""
"SBB_R0 (R8l, I8)","BASE","[1;2]","1.00","1",""
"SBB_R4 (R8l, 0)","BASE","[1;2]","1.00","1",""
"SBB_R4 (R8l, I8)","BASE","[1;2]","1.00","1",""
"SCASB","BASE","[1;≤5]","4.00","3",""
"SCASB_REPE","BASE","","20.00","3",""
"SCASB_REPNE","BASE","","20.00","3",""
"SCASD","BASE","[1;≤5]","4.00","3",""
"SCASD_REPE","BASE","","20.00","3",""
"SCASD_REPNE","BASE","","20.00","3",""
"SCASW","BASE","[1;≤5]","4.00","3",""
"SCASW_REPE","BASE","","20.00","3",""
"SCASW_REPNE","BASE","","20.00","3",""
"SETB (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETB (R8h)","BASE","[1;≤2]","1.00","1",""
"SETB (R8l)","BASE","[1;2]","1.00","1",""
"SETBE (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETBE (R8h)","BASE","[1;≤2]","1.00","1",""
"SETBE (R8l)","BASE","[1;2]","1.00","1",""
"SETL (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETL (R8h)","BASE","[1;≤2]","1.00","1",""
"SETL (R8l)","BASE","[1;2]","1.00","1",""
"SETLE (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETLE (R8h)","BASE","[1;≤2]","1.00","1",""
"SETLE (R8l)","BASE","[1;2]","1.00","1",""
"SETNB (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETNB (R8h)","BASE","[1;≤2]","1.00","1",""
"SETNB (R8l)","BASE","[1;2]","1.00","1",""
"SETNBE (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETNBE (R8h)","BASE","[1;≤2]","1.00","1",""
"SETNBE (R8l)","BASE","[1;2]","1.00","1",""
"SETNL (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETNL (R8h)","BASE","[1;≤2]","1.00","1",""
"SETNL (R8l)","BASE","[1;2]","1.00","1",""
"SETNLE (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETNLE (R8h)","BASE","[1;≤2]","1.00","1",""
"SETNLE (R8l)","BASE","[1;2]","1.00","1",""
"SETNO (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETNO (R8h)","BASE","[1;≤2]","1.00","1",""
"SETNO (R8l)","BASE","[1;2]","1.00","1",""
"SETNP (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETNP (R8h)","BASE","[1;≤2]","1.00","1",""
"SETNP (R8l)","BASE","[1;2]","1.00","1",""
"SETNS (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETNS (R8h)","BASE","[1;≤2]","1.00","1",""
"SETNS (R8l)","BASE","[1;2]","1.00","1",""
"SETNZ (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETNZ (R8h)","BASE","[1;≤2]","1.00","1",""
"SETNZ (R8l)","BASE","[1;2]","1.00","1",""
"SETO (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETO (R8h)","BASE","[1;≤2]","1.00","1",""
"SETO (R8l)","BASE","[1;2]","1.00","1",""
"SETP (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETP (R8h)","BASE","[1;≤2]","1.00","1",""
"SETP (R8l)","BASE","[1;2]","1.00","1",""
"SETS (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETS (R8h)","BASE","[1;≤2]","1.00","1",""
"SETS (R8l)","BASE","[1;2]","1.00","1",""
"SETZ (M8)","BASE","[≤6;≤8]","1.00","1",""
"SETZ (R8h)","BASE","[1;≤2]","1.00","1",""
"SETZ (R8l)","BASE","[1;2]","1.00","1",""
"SGDT (M80)","BASE","≤34","15.00","15",""
"SHL (M16, 0)","BASE","[5;≤9]","1.00","1",""
"SHL (M16, 1)","BASE","[4;≤9]","1.00","1",""
"SHL (M16, CL)","BASE","[1;≤9]","1.00","1",""
"SHL (M16, I8)","BASE","[4;≤9]","1.00","1",""
"SHL (M32, 0)","BASE","[5;≤8]","1.00","1",""
"SHL (M32, 1)","BASE","[4;≤8]","1.00","1",""
"SHL (M32, CL)","BASE","[1;≤8]","1.00","1",""
"SHL (M32, I8)","BASE","[4;≤8]","1.00","1",""
"SHL (M64, 0)","BASE","[5;≤8]","1.00","1",""
"SHL (M64, 1)","BASE","[4;≤8]","1.00","1",""
"SHL (M64, CL)","BASE","[1;≤8]","1.00","1",""
"SHL (M64, I8)","BASE","[4;≤8]","1.00","1",""
"SHL (M8, 0)","BASE","[5;≤9]","1.00","1",""
"SHL (M8, 1)","BASE","[4;≤9]","1.00","1",""
"SHL (M8, CL)","BASE","[1;≤9]","1.00","1",""
"SHL (M8, I8)","BASE","[4;≤9]","1.00","1",""
"SHL (R16, 0)","BASE","1","1.00","1",""
"SHL (R16, 1)","BASE","1","1.00","1",""
"SHL (R16, CL)","BASE","[0;3]","1.00","1",""
"SHL (R16, I8)","BASE","1","1.00","1",""
"SHL (R32, 0)","BASE","1","1.00","1",""
"SHL (R32, 1)","BASE","1","1.00","1",""
"SHL (R32, CL)","BASE","[0;3]","1.00","1",""
"SHL (R32, I8)","BASE","1","1.00","1",""
"SHL (R64, 0)","BASE","1","1.00","1",""
"SHL (R64, 1)","BASE","1","1.00","1",""
"SHL (R64, CL)","BASE","[0;3]","1.00","1",""
"SHL (R64, I8)","BASE","1","1.00","1",""
"SHL (R8h, 0)","BASE","1","1.00","1",""
"SHL (R8h, 1)","BASE","[1;≤2]","1.00","1",""
"SHL (R8h, CL)","BASE","[≤1;3]","1.00","1",""
"SHL (R8h, I8)","BASE","[1;≤2]","1.00","1",""
"SHL (R8l, CL)","BASE","[0;3]","1.00","1",""
"SHL_R0 (R8l, 0)","BASE","1","1.00","1",""
"SHL_R0 (R8l, 1)","BASE","1","1.00","1",""
"SHL_R0 (R8l, I8)","BASE","1","1.00","1",""
"SHL_R4 (R8l, 0)","BASE","1","1.00","1",""
"SHL_R4 (R8l, 1)","BASE","1","1.00","1",""
"SHL_R4 (R8l, I8)","BASE","1","1.00","1",""
"SHLD (M16, R16, 0)","BASE","[13;≤36]","13.00","14",""
"SHLD (M16, R16, CL)","BASE","[3;≤35]","15.00","14",""
"SHLD (M16, R16, I8)","BASE","[5;≤36]","13.00","14",""
"SHLD (M32, R32, 0)","BASE","[7;≤33]","6.00","8",""
"SHLD (M32, R32, CL)","BASE","[2;≤33]","9.00","8",""
"SHLD (M32, R32, I8)","BASE","[4;≤33]","6.00","8",""
"SHLD (M64, R64, 0)","BASE","[14;≤34]","14.00","15",""
"SHLD (M64, R64, CL)","BASE","[4;≤44]","14.00","14",""
"SHLD (M64, R64, I8)","BASE","[5;≤34]","14.00","15",""
"SHLD_CL (R16, R16, CL)","BASE","[4;6]","16.00","10",""
"SHLD_CL (R32, R32, CL)","BASE","[1;3]","4.00","2",""
"SHLD_CL (R64, R64, CL)","BASE","[3;7]","13.00","12",""
"SHLD_IMMB (R16, R16, 0)","BASE","5","14.00","10",""
"SHLD_IMMB (R16, R16, I8)","BASE","[5;6]","14.00","10",""
"SHLD_IMMB (R32, R32, 0)","BASE","2","2.00","2",""
"SHLD_IMMB (R32, R32, I8)","BASE","2","2.00","2",""
"SHLD_IMMB (R64, R64, 0)","BASE","5","11.00","12",""
"SHLD_IMMB (R64, R64, I8)","BASE","5","11.00","12",""
"SHR (M16, 0)","BASE","[5;≤9]","1.00","1",""
"SHR (M16, 1)","BASE","[4;≤9]","1.00","1",""
"SHR (M16, CL)","BASE","[1;≤9]","1.00","1",""
"SHR (M16, I8)","BASE","[4;≤9]","1.00","1",""
"SHR (M32, 0)","BASE","[5;≤8]","1.00","1",""
"SHR (M32, 1)","BASE","[4;≤8]","1.00","1",""
"SHR (M32, CL)","BASE","[1;≤8]","1.00","1",""
"SHR (M32, I8)","BASE","[4;≤8]","1.00","1",""
"SHR (M64, 0)","BASE","[5;≤8]","1.00","1",""
"SHR (M64, 1)","BASE","[4;≤8]","1.00","1",""
"SHR (M64, CL)","BASE","[1;≤8]","1.00","1",""
"SHR (M64, I8)","BASE","[4;≤8]","1.00","1",""
"SHR (M8, 0)","BASE","[5;≤9]","1.00","1",""
"SHR (M8, 1)","BASE","[4;≤9]","1.00","1",""
"SHR (M8, CL)","BASE","[1;≤9]","1.00","1",""
"SHR (M8, I8)","BASE","[4;≤9]","1.00","1",""
"SHR (R16, 0)","BASE","1","1.00","1",""
"SHR (R16, 1)","BASE","1","1.00","1",""
"SHR (R16, CL)","BASE","[0;3]","1.00","1",""
"SHR (R16, I8)","BASE","1","1.00","1",""
"SHR (R32, 0)","BASE","1","1.00","1",""
"SHR (R32, 1)","BASE","1","1.00","1",""
"SHR (R32, CL)","BASE","[0;3]","1.00","1",""
"SHR (R32, I8)","BASE","1","1.00","1",""
"SHR (R64, 0)","BASE","1","1.00","1",""
"SHR (R64, 1)","BASE","1","1.00","1",""
"SHR (R64, CL)","BASE","[0;3]","1.00","1",""
"SHR (R64, I8)","BASE","1","1.00","1",""
"SHR (R8h, 0)","BASE","1","1.00","1",""
"SHR (R8h, 1)","BASE","[1;≤2]","1.00","1",""
"SHR (R8h, CL)","BASE","[≤1;3]","1.00","1",""
"SHR (R8h, I8)","BASE","[1;≤2]","1.00","1",""
"SHR (R8l, CL)","BASE","[0;3]","1.00","1",""
"SHR_R0 (R8l, 0)","BASE","1","1.00","1",""
"SHR_R0 (R8l, 1)","BASE","1","1.00","1",""
"SHR_R0 (R8l, I8)","BASE","1","1.00","1",""
"SHR_R4 (R8l, 0)","BASE","1","1.00","1",""
"SHR_R4 (R8l, 1)","BASE","1","1.00","1",""
"SHR_R4 (R8l, I8)","BASE","1","1.00","1",""
"SHRD (M16, R16, 0)","BASE","[13;≤35]","13.00","13",""
"SHRD (M16, R16, CL)","BASE","[3;≤35]","13.00","12",""
"SHRD (M16, R16, I8)","BASE","[4;≤35]","13.00","13",""
"SHRD (M32, R32, 0)","BASE","[7;≤33]","6.00","8",""
"SHRD (M32, R32, CL)","BASE","[2;≤33]","9.00","8",""
"SHRD (M32, R32, I8)","BASE","[4;≤33]","6.00","8",""
"SHRD (M64, R64, 0)","BASE","[14;≤34]","14.00","15",""
"SHRD (M64, R64, CL)","BASE","[4;≤44]","14.00","14",""
"SHRD (M64, R64, I8)","BASE","[5;≤34]","14.00","15",""
"SHRD_CL (R16, R16, CL)","BASE","[3;5]","12.00","10",""
"SHRD_CL (R32, R32, CL)","BASE","[1;3]","4.00","2",""
"SHRD_CL (R64, R64, CL)","BASE","[3;7]","13.00","12",""
"SHRD_IMMB (R16, R16, 0)","BASE","4","10.00","10",""
"SHRD_IMMB (R16, R16, I8)","BASE","4","10.00","10",""
"SHRD_IMMB (R32, R32, 0)","BASE","2","2.00","2",""
"SHRD_IMMB (R32, R32, I8)","BASE","2","2.00","2",""
"SHRD_IMMB (R64, R64, 0)","BASE","5","11.00","12",""
"SHRD_IMMB (R64, R64, I8)","BASE","5","11.00","12",""
"SIDT (M80)","BASE","≤34","15.97","14",""
"SLDT (M16)","BASE","≤34","17.00","15",""
"SLDT (R16)","BASE","4","16.00","15",""
"SLDT (R32)","BASE","","16.00","15",""
"SLDT (R64)","BASE","","16.00","15",""
"SMSW (M16)","BASE","[≤35;≤36]","12.00","9",""
"SMSW (R16)","BASE","8","10.00","7",""
"SMSW (R32)","BASE","","10.00","7",""
"SMSW (R64)","BASE","","9.98","7",""
"STC","BASE","","1.00","1",""
"STD","BASE","","39.00","4",""
"STI","BASE","","7.00","8",""
"STOSB","BASE","[≤1;≤4]","4.00","2",""
"STOSB_REPE","BASE","","27.00","23",""
"STOSB_REPNE","BASE","","27.00","23",""
"STOSD","BASE","[≤1;≤3]","4.00","2",""
"STOSD_REPE","BASE","","27.00","23",""
"STOSD_REPNE","BASE","","27.00","23",""
"STOSW","BASE","[≤1;≤4]","4.00","2",""
"STOSW_REPE","BASE","","27.00","23",""
"STOSW_REPNE","BASE","","27.00","23",""
"STR (M16)","BASE","≤34","13.00","12",""
"STR (R16)","BASE","2","12.00","12",""
"STR (R32)","BASE","","12.00","12",""
"STR (R64)","BASE","","12.00","12",""
"SUB (AL, 0)","BASE","1","0.67","1",""
"SUB (AL, I8)","BASE","1","0.67","1",""
"SUB (AX, I16)","BASE","1","0.67","1",""
"SUB (EAX, I32)","BASE","1","0.67","1",""
"SUB (M16, 0)","BASE","[4;≤9]","1.00","1",""
"SUB (M16, I16)","BASE","[4;≤9]","1.00","1",""
"SUB (M16, I8)","BASE","[4;≤9]","1.00","1",""
"SUB (M16, R16)","BASE","[1;≤9]","1.00","1",""
"SUB (M32, 0)","BASE","[4;≤8]","1.00","1",""
"SUB (M32, I32)","BASE","[4;≤8]","1.00","1",""
"SUB (M32, I8)","BASE","[4;≤8]","1.00","1",""
"SUB (M32, R32)","BASE","[1;≤8]","1.00","1",""
"SUB (M64, 0)","BASE","[4;≤8]","1.00","1",""
"SUB (M64, I32)","BASE","[4;≤8]","1.00","1",""
"SUB (M64, I8)","BASE","[4;≤8]","1.00","1",""
"SUB (M64, R64)","BASE","[1;≤8]","1.00","1",""
"SUB (M8, 0)","BASE","[4;≤9]","1.00","1",""
"SUB (M8, I8)","BASE","[4;≤9]","1.00","1",""
"SUB (M8, R8h)","BASE","[≤3;≤10]","1.00","1",""
"SUB (M8, R8l)","BASE","[1;≤9]","1.00","1",""
"SUB (R16, 0)","BASE","1","0.33","1",""
"SUB (R16, I16)","BASE","1","0.35","1",""
"SUB (R16, I8)","BASE","1","0.33","1",""
"SUB (R16, M16)","BASE","[1;≤5]","1.00","1",""
"SUB (R32, 0)","BASE","1","0.33","1",""
"SUB (R32, I32)","BASE","1","0.44","1",""
"SUB (R32, I8)","BASE","1","0.33","1",""
"SUB (R32, M32)","BASE","[1;≤5]","1.00","1",""
"SUB (R64, 0)","BASE","1","0.33","1",""
"SUB (R64, I32)","BASE","1","0.50","1",""
"SUB (R64, I8)","BASE","1","0.33","1",""
"SUB (R64, M64)","BASE","[1;≤5]","1.00","1",""
"SUB (R8h, 0)","BASE","[2;≤3]","1.00","1",""
"SUB (R8h, I8)","BASE","[2;≤3]","1.00","1",""
"SUB (R8h, M8)","BASE","[2;≤6]","1.00","1",""
"SUB (R8l, M8)","BASE","[1;≤5]","1.00","1",""
"SUB (RAX, I32)","BASE","1","0.67","1",""
"SUB_28 (R8h, R8h)","BASE","[1;≤2]","1.00","1",""
"SUB_28 (R8h, R8l)","BASE","[2;≤3]","1.00","1",""
"SUB_28 (R8l, R8h)","BASE","[2;≤3]","1.00","1",""
"SUB_28 (R8l, R8l)","BASE","1","0.33","1",""
"SUB_29 (R16, R16)","BASE","1","0.33","1",""
"SUB_29 (R32, R32)","BASE","1","0.33","1",""
"SUB_29 (R64, R64)","BASE","1","0.33","1",""
"SUB_2A (R8h, R8h)","BASE","[1;≤2]","1.00","1",""
"SUB_2A (R8h, R8l)","BASE","[2;≤3]","1.00","1",""
"SUB_2A (R8l, R8h)","BASE","[2;≤3]","1.00","1",""
"SUB_2A (R8l, R8l)","BASE","1","0.33","1",""
"SUB_2B (R16, R16)","BASE","1","0.33","1",""
"SUB_2B (R32, R32)","BASE","1","0.33","1",""
"SUB_2B (R64, R64)","BASE","1","0.33","1",""
"SUB_LOCK (M16, 0)","BASE","[≤10;14]","14.00","1",""
"SUB_LOCK (M16, I16)","BASE","[≤10;14]","14.00","1",""
"SUB_LOCK (M16, I8)","BASE","[≤10;14]","14.00","1",""
"SUB_LOCK (M16, R16)","BASE","[≤10;14]","14.00","1",""
"SUB_LOCK (M32, 0)","BASE","[≤9;14]","14.00","1",""
"SUB_LOCK (M32, I32)","BASE","[≤9;14]","14.00","1",""
"SUB_LOCK (M32, I8)","BASE","[≤9;14]","14.00","1",""
"SUB_LOCK (M32, R32)","BASE","[≤9;14]","14.00","1",""
"SUB_LOCK (M64, 0)","BASE","[≤9;14]","14.00","1",""
"SUB_LOCK (M64, I32)","BASE","[≤9;14]","14.00","1",""
"SUB_LOCK (M64, I8)","BASE","[≤9;14]","14.00","1",""
"SUB_LOCK (M64, R64)","BASE","[≤9;14]","14.00","1",""
"SUB_LOCK (M8, 0)","BASE","[≤10;14]","14.00","1",""
"SUB_LOCK (M8, I8)","BASE","[≤10;14]","14.00","1",""
"SUB_LOCK (M8, R8h)","BASE","[≤11;≤15]","14.00","1",""
"SUB_LOCK (M8, R8l)","BASE","[≤10;14]","14.00","1",""
"SUB_R0 (R8l, 0)","BASE","1","0.33","1",""
"SUB_R0 (R8l, I8)","BASE","1","0.33","1",""
"SUB_R4 (R8l, 0)","BASE","1","0.33","1",""
"SUB_R4 (R8l, I8)","BASE","1","0.33","1",""
"TEST (AL, 0)","BASE","1","0.33","1",""
"TEST (AL, I8)","BASE","1","0.33","1",""
"TEST (AX, I16)","BASE","1","0.33","1",""
"TEST (EAX, I32)","BASE","1","0.33","1",""
"TEST (M16, I16)","BASE","[4;≤5]","1.00","1",""
"TEST (M16, R16)","BASE","[1;≤5]","1.00","1",""
"TEST (M32, I32)","BASE","[4;≤5]","1.00","1",""
"TEST (M32, R32)","BASE","[1;≤5]","1.00","1",""
"TEST (M64, I32)","BASE","[4;≤5]","1.00","1",""
"TEST (M64, R64)","BASE","[1;≤5]","1.00","1",""
"TEST (M8, 0)","BASE","[4;≤5]","1.00","1",""
"TEST (M8, I8)","BASE","[4;≤5]","1.00","1",""
"TEST (M8, R8h)","BASE","[≤3;≤6]","1.00","1",""
"TEST (M8, R8l)","BASE","[1;≤5]","1.00","1",""
"TEST (R16, I16)","BASE","1","0.37","1",""
"TEST (R16, R16)","BASE","1","0.33","1",""
"TEST (R32, I32)","BASE","1","0.50","1",""
"TEST (R32, R32)","BASE","1","0.33","1",""
"TEST (R64, I32)","BASE","1","0.50","1",""
"TEST (R64, R64)","BASE","1","0.33","1",""
"TEST (R8h, 0)","BASE","≤3","1.00","1",""
"TEST (R8h, I8)","BASE","≤3","1.00","1",""
"TEST (R8h, R8h)","BASE","≤2","1.00","1",""
"TEST (R8h, R8l)","BASE","[2;≤3]","1.00","1",""
"TEST (R8l, R8h)","BASE","[2;≤3]","1.00","1",""
"TEST (R8l, R8l)","BASE","1","0.33","1",""
"TEST (RAX, I32)","BASE","1","0.37","1",""
"TEST_R0 (R8l, 0)","BASE","1","0.33","1",""
"TEST_R0 (R8l, I8)","BASE","1","0.33","1",""
"TEST_R4 (R8l, 0)","BASE","1","0.33","1",""
"TEST_R4 (R8l, I8)","BASE","1","0.33","1",""
"VERR (M16)","BASE","[≤45;54]","55.00","18",""
"VERR (R16)","BASE","41","50.00","16",""
"VERW (M16)","BASE","[≤45;54]","55.00","18",""
"VERW (R16)","BASE","41","50.00","16",""
"WBINVD","BASE","","1250729.87","198470",""
"WRMSR","BASE","","60.75","65",""
"XADD (M16, R16)","BASE","[1;≤34]","5.00","6",""
"XADD (M32, R32)","BASE","[1;≤33]","5.00","6",""
"XADD (M64, R64)","BASE","[1;≤33]","5.00","6",""
"XADD (M8, R8h)","BASE","[3;≤34]","5.00","6",""
"XADD (M8, R8l)","BASE","[1;≤34]","5.00","6",""
"XADD (R16, R16)","BASE","[1;2]","4.00","3",""
"XADD (R32, R32)","BASE","[1;2]","4.00","3",""
"XADD (R64, R64)","BASE","[1;2]","4.00","3",""
"XADD (R8h, R8h)","BASE","[1;≤2]","4.00","3",""
"XADD (R8h, R8l)","BASE","[2;≤4]","4.00","3",""
"XADD (R8l, R8h)","BASE","[2;≤4]","4.00","3",""
"XADD (R8l, R8l)","BASE","[1;2]","4.00","3",""
"XADD_LOCK (M16, R16)","BASE","[10;≤42]","14.00","6",""
"XADD_LOCK (M32, R32)","BASE","[10;≤41]","14.00","6",""
"XADD_LOCK (M64, R64)","BASE","[10;≤41]","14.00","6",""
"XADD_LOCK (M8, R8h)","BASE","[11;≤42]","14.00","6",""
"XADD_LOCK (M8, R8l)","BASE","[10;≤42]","14.00","6",""
"XCHG (M16, R16)","BASE","[≤4;12]","14.00","3",""
"XCHG (M32, R32)","BASE","[≤3;12]","14.00","3",""
"XCHG (M64, R64)","BASE","[≤3;12]","14.00","3",""
"XCHG (M8, R8h)","BASE","[≤4;12]","14.00","4",""
"XCHG (M8, R8l)","BASE","[≤4;12]","14.00","3",""
"XCHG (R16, AX)","BASE","[1;3]","4.00","3",""
"XCHG (R16, R16)","BASE","[1;2]","4.00","3",""
"XCHG (R32, EAX)","BASE","[1;2]","4.00","3",""
"XCHG (R32, R32)","BASE","[1;2]","4.00","3",""
"XCHG (R64, R64)","BASE","[1;2]","4.00","3",""
"XCHG (R64, RAX)","BASE","[1;2]","4.00","3",""
"XCHG (R8h, R8h)","BASE","2","4.00","3",""
"XCHG (R8h, R8l)","BASE","[1;2]","4.00","3",""
"XCHG (R8l, R8h)","BASE","[1;2]","4.00","3",""
"XCHG (R8l, R8l)","BASE","[1;2]","4.00","3",""
"XLAT","BASE","[≤4;5]","5.00","4",""
"XOR (AL, 0)","BASE","1","0.67","1",""
"XOR (AL, I8)","BASE","1","0.67","1",""
"XOR (AX, I16)","BASE","1","0.67","1",""
"XOR (EAX, I32)","BASE","1","0.67","1",""
"XOR (M16, 0)","BASE","[4;≤9]","1.00","1",""
"XOR (M16, I16)","BASE","[4;≤9]","1.00","1",""
"XOR (M16, I8)","BASE","[4;≤9]","1.00","1",""
"XOR (M16, R16)","BASE","[1;≤9]","1.00","1",""
"XOR (M32, 0)","BASE","[4;≤8]","1.00","1",""
"XOR (M32, I32)","BASE","[4;≤8]","1.00","1",""
"XOR (M32, I8)","BASE","[4;≤8]","1.00","1",""
"XOR (M32, R32)","BASE","[1;≤8]","1.00","1",""
"XOR (M64, 0)","BASE","[4;≤8]","1.00","1",""
"XOR (M64, I32)","BASE","[4;≤8]","1.00","1",""
"XOR (M64, I8)","BASE","[4;≤8]","1.00","1",""
"XOR (M64, R64)","BASE","[1;≤8]","1.00","1",""
"XOR (M8, 0)","BASE","[4;≤9]","1.00","1",""
